"","mean","0.025quant","0.975quant"
"r1",3.60306604772156,2.05606873184061,6.36438394901906
"r2",4.34556604097677,2.48530077258589,8.1879877749708
"r3",4.14289357767596,2.38610434419971,7.8269402932601
"r4",3.05881802287118,1.73764420651749,5.47509376335503
"r5",3.01461428630515,1.73957278292203,5.34723629843477
"r11",3.5976304429357,1.96069997598545,6.19369720150136
"r21",3.86389437908616,2.05280719210178,6.95108336296407
"r31",3.79985168844759,2.08599152004184,6.85355925471655
"r41",2.77383379999256,1.60214527529915,4.63540034344726
"r51",2.87676892383032,1.54851193019947,4.991123106043
