"","mean","0.025quant","0.975quant"
"r1",1.85971402552673,1.14423377351351,3.12983135876972
"r2",2.04099775788036,1.26661914388073,3.36202505248208
"r3",2.3177181436795,1.33319446136867,4.16520707543193
"r4",2.25175495849411,1.32869392432813,3.94112326530615
"r5",2.32861961493865,1.4063256516443,3.94688238070259
"r11",1.76647044572805,1.04385727292697,2.89830457439943
"r21",1.90332809797781,1.17539684991641,2.99467023373915
"r31",2.3294990981054,1.25157869347279,4.0729127670497
"r41",2.18344603736326,1.24943195015187,3.6428434346512
"r51",2.31127002643838,1.35602394692034,3.78485528814272
