"","mean","0.025quant","0.975quant"
"r1",2.97486419762379,1.85235314866431,4.88625941751383
"r2",2.79720882232215,1.8218617801486,4.46256344464576
"r3",3.01066372317348,1.72968914977181,5.28421391659346
"r4",3.12623138348496,1.72997480980068,5.55341331203849
"r5",3.54165437668975,2.10498058950213,6.25719574543743
"r11",2.78817551329083,1.65229545450369,4.52166774452683
"r21",2.71902298413809,1.68204322754606,4.34509216074972
"r31",2.48846229274462,1.45096469006571,4.06789723305023
"r41",2.50114878798491,1.312662019697,4.21076145548997
"r51",3.13769789890537,1.76961721135351,5.28794459938802
